price_date,investment_asset_id,close_price
2026-05-18,AE_ENBD,21.78
2026-05-18,AE_FAB,13.365
2026-05-18,AE_ADCB,8.91
2026-05-18,AE_DIB_SUK,99.0
2026-05-18,AE_ADNOCGAS,3.366
2026-05-18,AE_EAND,16.83
2026-05-18,AE_EMAAR,8.118
2026-05-18,AE_ALDAR,6.435
2026-05-18,US_AAPL,188.1
2026-05-18,US_MSFT,415.8
2026-05-19,AE_ENBD,21.824
2026-05-19,AE_FAB,13.392
2026-05-19,AE_ADCB,8.928
2026-05-19,AE_DIB_SUK,99.2
2026-05-19,AE_ADNOCGAS,3.3728
2026-05-19,AE_EAND,16.864
2026-05-19,AE_EMAAR,8.1344
2026-05-19,AE_ALDAR,6.448
2026-05-19,US_AAPL,188.48
2026-05-19,US_MSFT,416.64
2026-05-20,AE_ENBD,21.868
2026-05-20,AE_FAB,13.419
2026-05-20,AE_ADCB,8.946
2026-05-20,AE_DIB_SUK,99.4
2026-05-20,AE_ADNOCGAS,3.3796
2026-05-20,AE_EAND,16.898
2026-05-20,AE_EMAAR,8.1508
2026-05-20,AE_ALDAR,6.461
2026-05-20,US_AAPL,188.86
2026-05-20,US_MSFT,417.48
2026-05-21,AE_ENBD,21.912
2026-05-21,AE_FAB,13.446
2026-05-21,AE_ADCB,8.964
2026-05-21,AE_DIB_SUK,99.6
2026-05-21,AE_ADNOCGAS,3.3864
2026-05-21,AE_EAND,16.932
2026-05-21,AE_EMAAR,8.1672
2026-05-21,AE_ALDAR,6.474
2026-05-21,US_AAPL,189.24
2026-05-21,US_MSFT,418.32
2026-05-22,AE_ENBD,21.956
2026-05-22,AE_FAB,13.473
2026-05-22,AE_ADCB,8.982
2026-05-22,AE_DIB_SUK,99.8
2026-05-22,AE_ADNOCGAS,3.3932
2026-05-22,AE_EAND,16.966
2026-05-22,AE_EMAAR,8.1836
2026-05-22,AE_ALDAR,6.487
2026-05-22,US_AAPL,189.62
2026-05-22,US_MSFT,419.16
2026-05-23,AE_ENBD,22.0
2026-05-23,AE_FAB,13.5
2026-05-23,AE_ADCB,9.0
2026-05-23,AE_DIB_SUK,100.0
2026-05-23,AE_ADNOCGAS,3.4
2026-05-23,AE_EAND,17.0
2026-05-23,AE_EMAAR,8.2
2026-05-23,AE_ALDAR,6.5
2026-05-23,US_AAPL,190.0
2026-05-23,US_MSFT,420.0
2026-05-24,AE_ENBD,22.044
2026-05-24,AE_FAB,13.527
2026-05-24,AE_ADCB,9.018
2026-05-24,AE_DIB_SUK,100.2
2026-05-24,AE_ADNOCGAS,3.4068
2026-05-24,AE_EAND,17.034
2026-05-24,AE_EMAAR,8.2164
2026-05-24,AE_ALDAR,6.513
2026-05-24,US_AAPL,190.38
2026-05-24,US_MSFT,420.84
2026-05-25,AE_ENBD,22.088
2026-05-25,AE_FAB,13.554
2026-05-25,AE_ADCB,9.036
2026-05-25,AE_DIB_SUK,100.4
2026-05-25,AE_ADNOCGAS,3.4136
2026-05-25,AE_EAND,17.068
2026-05-25,AE_EMAAR,8.2328
2026-05-25,AE_ALDAR,6.526
2026-05-25,US_AAPL,190.76
2026-05-25,US_MSFT,421.68
2026-05-26,AE_ENBD,22.132
2026-05-26,AE_FAB,13.581
2026-05-26,AE_ADCB,9.054
2026-05-26,AE_DIB_SUK,100.6
2026-05-26,AE_ADNOCGAS,3.4204
2026-05-26,AE_EAND,17.102
2026-05-26,AE_EMAAR,8.2492
2026-05-26,AE_ALDAR,6.539
2026-05-26,US_AAPL,191.14
2026-05-26,US_MSFT,422.52
2026-05-27,AE_ENBD,22.176
2026-05-27,AE_FAB,13.608
2026-05-27,AE_ADCB,9.072
2026-05-27,AE_DIB_SUK,100.8
2026-05-27,AE_ADNOCGAS,3.4272
2026-05-27,AE_EAND,17.136
2026-05-27,AE_EMAAR,8.2656
2026-05-27,AE_ALDAR,6.552
2026-05-27,US_AAPL,191.52
2026-05-27,US_MSFT,423.36
2026-05-28,AE_ENBD,22.22
2026-05-28,AE_FAB,13.635
2026-05-28,AE_ADCB,9.09
2026-05-28,AE_DIB_SUK,101.0
2026-05-28,AE_ADNOCGAS,3.434
2026-05-28,AE_EAND,17.17
2026-05-28,AE_EMAAR,8.282
2026-05-28,AE_ALDAR,6.565
2026-05-28,US_AAPL,191.9
2026-05-28,US_MSFT,424.2
2026-05-29,AE_ENBD,22.264
2026-05-29,AE_FAB,13.662
2026-05-29,AE_ADCB,9.108
2026-05-29,AE_DIB_SUK,101.2
2026-05-29,AE_ADNOCGAS,3.4408
2026-05-29,AE_EAND,17.204
2026-05-29,AE_EMAAR,8.2984
2026-05-29,AE_ALDAR,6.578
2026-05-29,US_AAPL,192.28
2026-05-29,US_MSFT,425.04
